name,longitude,latitude
0point,-3.0064964	,51.709745	
1point,-3.0064964	,51.709745	
2point,-3.0064964	,51.709745	
3point,-3.0064964	,51.709745	
4point,-3.0064964	,51.709745	
5point,-3.0064964	,51.709745	
6point,-3.0064964	,51.709745	
7point,-3.0064964	,51.709745	
8point,-3.0064964	,51.709745	
9point,-3.0064964	,51.709745	
10point,-3.0064964	,51.709745	
11point,-3.0064975	,51.7097462	
12point,-3.0064995	,51.7097486	
13point,-3.0064989	,51.7097478	
14point,-3.0064976	,51.7097465	
15point,-3.0064973	,51.7097462	
16point,-3.0064975	,51.7097463	
17point,-3.0064976	,51.7097463	
18point,-3.0064976	,51.7097463	
19point,-3.0064976	,51.7097463	
20point,-3.0064976	,51.7097464	
21point,-3.0064976	,51.7097464	
22point,-3.0064976	,51.7097464	
23point,-3.0064976	,51.7097465	
24point,-3.0064978	,51.7097468	
25point,-3.0064979	,51.7097468	
26point,-3.0064979	,51.7097469	
27point,-3.0064979	,51.7097469	
28point,-3.0064979	,51.709747	
29point,-3.0064979	,51.709747	
30point,-3.0064979	,51.709747	
31point,-3.0064979	,51.709747	
32point,-3.0064956	,51.709747	
33point,-3.0064819	,51.709747	
34point,-3.0064558	,51.7097482	
35point,-3.0064158	,51.7097483	
36point,-3.0063619	,51.7097459	
37point,-3.0063057	,51.7097429	
38point,-3.0062631	,51.7097331	
39point,-3.0062406	,51.7097133	
40point,-3.0062306	,51.7096839	
41point,-3.0062303	,51.7096492	
42point,-3.0062457	,51.7096174	
43point,-3.0062775	,51.7095883	
44point,-3.0063228	,51.7095592	
45point,-3.0063684	,51.7095268	
46point,-3.0064113	,51.7094891	
47point,-3.0064525	,51.7094447	
48point,-3.0064946	,51.7093942	
49point,-3.0065378	,51.7093388	
50point,-3.0065828	,51.7092796	
51point,-3.0066294	,51.7092175	
52point,-3.0066775	,51.709153	
53point,-3.0067244	,51.7090899	
54point,-3.0067651	,51.7090338	
55point,-3.0067995	,51.7089862	
56point,-3.0068273	,51.7089475	
57point,-3.0068487	,51.7089185	
58point,-3.0068585	,51.7089059	
59point,-3.0068691	,51.7088933	
60point,-3.0068721	,51.7088909	
61point,-3.0068718	,51.7088963	
62point,-3.0068707	,51.7089151	
63point,-3.0068674	,51.7089369	
64point,-3.0068666	,51.708954	
65point,-3.0068652	,51.7089895	
66point,-3.006865	,51.7090538	
67point,-3.0068631	,51.7090859	
68point,-3.0068599	,51.7091436	
69point,-3.0068557	,51.7092056	
70point,-3.0068512	,51.7092709	
71point,-3.0068463	,51.7093391	
72point,-3.0068409	,51.7094096	
73point,-3.0068354	,51.7094825	
74point,-3.0068297	,51.7095572	
75point,-3.006824	,51.7096337	
76point,-3.0068162	,51.7097433	
77point,-3.0068129	,51.709791	
78point,-3.0068074	,51.7098717	
79point,-3.006802	,51.7099533	
80point,-3.0067958	,51.7100356	
81point,-3.0067808	,51.710113	
82point,-3.00675	,51.7101831	
83point,-3.0067079	,51.7102454	
84point,-3.0066601	,51.7102974	
85point,-3.006604	,51.7103368	
86point,-3.0065472	,51.7103665	
87point,-3.0064989	,51.7103893	
88point,-3.0064629	,51.7104066	
89point,-3.0064422	,51.7104171	
90point,-3.0064374	,51.7104184	
91point,-3.0064374	,51.7104103	
92point,-3.0064359	,51.710394	
93point,-3.0064303	,51.7103697	
94point,-3.0064172	,51.7103374	
95point,-3.006404	,51.7102985	
96point,-3.0064007	,51.710259	
97point,-3.0064099	,51.7102193	
98point,-3.0064259	,51.7101786	
99point,-3.0064284	,51.710141	
100point,-3.0064089	,51.7101074	
101point,-3.0063844	,51.7100815	
102point,-3.0063652	,51.710067	
103point,-3.0063589	,51.7100644	
104point,-3.0063616	,51.7100667	
105point,-3.006367	,51.7100681	
106point,-3.0063711	,51.7100679	
107point,-3.006373	,51.7100668	
108point,-3.0063732	,51.7100656	
109point,-3.0063727	,51.7100651	
110point,-3.006372	,51.7100649	
111point,-3.0063714	,51.7100649	
112point,-3.0063713	,51.710065	
113point,-3.0063711	,51.710065	
114point,-3.0063709	,51.710065	
115point,-3.0063708	,51.7100651	
116point,-3.0063706	,51.7100652	
117point,-3.0063706	,51.7100652	
118point,-3.0063706	,51.7100652	
119point,-3.0063706	,51.7100652	
120point,-3.0063706	,51.7100651	
121point,-3.0063706	,51.7100651	
122point,-3.0063705	,51.710065	
123point,-3.0063703	,51.710065	
124point,-3.0063703	,51.7100651	
125point,-3.0063703	,51.7100651	
126point,-3.0063703	,51.7100651	
127point,-3.0063701	,51.7100651	
128point,-3.0063701	,51.7100651	
129point,-3.0063701	,51.7100651	
130point,-3.00637	,51.710065	
131point,-3.00637	,51.710065	
132point,-3.00637	,51.710065	
133point,-3.00637	,51.710065	
134point,-3.00637	,51.710065	
135point,-3.0063698	,51.710065	
136point,-3.0063698	,51.7100649	
137point,-3.0063697	,51.7100649	
138point,-3.0063697	,51.7100649	
139point,-3.0063697	,51.7100649	
140point,-3.0063697	,51.7100649	
141point,-3.0063697	,51.7100648	
142point,-3.0063695	,51.7100648	
143point,-3.0063697	,51.7100649	
144point,-3.0063697	,51.7100649	
145point,-3.0063698	,51.7100648	
146point,-3.0063697	,51.7100648	
147point,-3.0063695	,51.7100648	
148point,-3.0063692	,51.7100646	
149point,-3.0063692	,51.7100646	
150point,-3.0063692	,51.7100648	
151point,-3.0063692	,51.7100648	
152point,-3.0063692	,51.7100648	
153point,-3.0063692	,51.7100648	
154point,-3.0063692	,51.7100646	
155point,-3.006369	,51.7100646	
156point,-3.006369	,51.7100646	
157point,-3.006369	,51.7100646	
158point,-3.006369	,51.7100646	
159point,-3.006369	,51.7100646	
160point,-3.006369	,51.7100646	
161point,-3.0063689	,51.7100648	
162point,-3.006369	,51.7100648	
163point,-3.006369	,51.7100646	
164point,-3.0063689	,51.7100645	
165point,-3.0063687	,51.7100645	
166point,-3.0063687	,51.7100645	
167point,-3.0063687	,51.7100645	
168point,-3.0063686	,51.7100645	
169point,-3.0063686	,51.7100646	
170point,-3.0063684	,51.7100645	
171point,-3.0063684	,51.7100645	
172point,-3.0063684	,51.7100645	
173point,-3.0063684	,51.7100644	
174point,-3.0063684	,51.7100644	
175point,-3.0063684	,51.7100644	
176point,-3.0063684	,51.7100644	
177point,-3.0063684	,51.7100645	
178point,-3.0063684	,51.7100645	
179point,-3.0063687	,51.7100634	
180point,-3.0063722	,51.710056	
181point,-3.0063801	,51.7100419	
182point,-3.0063906	,51.7100135	
183point,-3.0064018	,51.709988	
184point,-3.006418	,51.7099482	
185point,-3.0064376	,51.7099	
186point,-3.0064571	,51.7098499	
187point,-3.0064723	,51.7098067	
188point,-3.0064831	,51.7097732	
189point,-3.00649	,51.7097506	
190point,-3.0064932	,51.7097413	
191point,-3.0064933	,51.7097417	
192point,-3.0064935	,51.7097444	
193point,-3.0064946	,51.7097458	
194point,-3.0064957	,51.709746	
195point,-3.0064967	,51.7097456	
196point,-3.006497	,51.7097451	
197point,-3.006497	,51.7097446	
198point,-3.0064968	,51.7097445	
199point,-3.0064967	,51.7097442	
200point,-3.0064965	,51.7097442	
201point,-3.0064964	,51.7097442	
202point,-3.0064964	,51.7097442	
203point,-3.0064962	,51.7097444	
204point,-3.0064962	,51.7097444	
205point,-3.0064962	,51.7097444	
206point,-3.006496	,51.7097442	
207point,-3.006496	,51.7097441	
208point,-3.0064962	,51.7097441	
209point,-3.0064964	,51.7097442	
210point,-3.0064964	,51.7097442	
211point,-3.0064962	,51.7097442	
212point,-3.0064962	,51.7097442	
213point,-3.006496	,51.7097442	
214point,-3.006496	,51.7097441	
215point,-3.006496	,51.7097441	
216point,-3.006496	,51.7097441	
217point,-3.006496	,51.709744	
218point,-3.006496	,51.709744	
219point,-3.0064962	,51.709744	
220point,-3.006496	,51.709744	
221point,-3.006496	,51.7097439	
222point,-3.006496	,51.7097439	
223point,-3.006496	,51.7097438	
224point,-3.006496	,51.7097438	
225point,-3.0064962	,51.7097438	
226point,-3.006496	,51.7097438	
227point,-3.006496	,51.7097438	
228point,-3.006496	,51.7097438	
229point,-3.0064962	,51.7097438	
230point,-3.006496	,51.7097438	
231point,-3.0064959	,51.7097437	
232point,-3.0064959	,51.7097437	
233point,-3.0064959	,51.7097437	
234point,-3.006496	,51.7097437	
235point,-3.006496	,51.7097435	
236point,-3.0064959	,51.7097435	
237point,-3.0064959	,51.7097435	
238point,-3.0064959	,51.7097435	
239point,-3.0064959	,51.7097435	
240point,-3.0064959	,51.7097435	
241point,-3.0064959	,51.7097435	
